array_index,case_id,study_family,group_dir,physical_case,mesh_name,Nx,Ny,velocity_m_per_s,stiffness_class,A,beta,Ta_K,threads,core_label,solver,cells,level0_Nx,level0_Ny,level1_Nx,level1_Ny,level2_Nx,level2_Ny,mg_pre_sweeps,mg_post_sweeps,mg_coarse_sweeps,mg_omega,final_time_s,time_steps,vFuel_m_per_s,vOx_m_per_s,HfF_J_per_kg,rho_kg_per_m3,mu_Pa_s,cp_J_per_kgK,Pr,Sc,compute_time_s,pressure_time_s,pressure_fraction_pct,output_time_s,total_wall_s,pressure_solves,total_vcycles,avg_vcycles_per_pressure_solve,max_vcycles_per_pressure_solve,mean_pressure_convergence_factor,final_pressure_cycles,final_pressure_rhs_norm,final_pressure_initial_residual,final_pressure_abs_residual,final_pressure_rel_residual,final_pressure_convergence_factor,restrictions,prolongations,fine_pre_sweeps,fine_post_sweeps,level1_pre_sweeps,level1_post_sweeps,coarse_sweeps,equivalent_fine_grid_smoothing_sweeps,equivalent_fine_grid_smoothing_sweeps_per_pressure_solve,mass_residual_max,mass_residual_l2,mass_residual_integral,Tmin_K,Tmax_K,pmin_Pa,pmax_Pa,umin_m_per_s,umax_m_per_s,vmin_m_per_s,vmax_m_per_s,YFmax,YOmax,YPmax,YN2max,run_complete,run_failed,node,job_id,launcher_wall_seconds
0,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,1,C1,MG2V_3LEVEL,3888,108,36,54,18,27,9,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,81.006684605000558,2.4684153550000119,3.0471748930799176,0.073499760999999997,81.087982048000001,20033,10130,0.50566565167473665,14,0.046028232408294206,3,176433.56204348893,13839.896760285803,8.559782682947116,4.8515614511241486e-05,0.085200726138238786,20260,20260,30390,30390,30390,30390,405200,101300,5.0566565167473669,0.00077183503469768766,4.5534504802438174e-05,5.4517608148828653e-12,294.95448835599325,915.08426793775425,99999.997868987732,100000.00224199564,-0.015431665118554309,0.015431665118554309,-0.045263777493596516,0.045263777493596516,0.99597253380918427,0.20893765029980954,0.31683562161844481,0.83491282146879564,1,0,orfoz311,6282687,109.050991360
1,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,2,C2,MG2V_3LEVEL,3888,108,36,54,18,27,9,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,46.238860805999998,2.678784381000002,5.79336154547389,0.067472298000000014,46.308751172999997,20033,10130,0.50566565167473665,14,0.046028232408294206,3,176433.56204348893,13839.896760285803,8.559782682947116,4.8515614511241486e-05,0.085200726138238786,20260,20260,30390,30390,30390,30390,405200,101300,5.0566565167473669,0.00077183503469768766,4.5534504802438174e-05,5.4517608148828661e-12,294.95448835599325,915.08426793775425,99999.997868987732,100000.00224199564,-0.015431665118554309,0.015431665118554309,-0.045263777493596516,0.045263777493596516,0.99597253380918427,0.20893765029980954,0.31683562161844481,0.83491282146879564,1,0,orfoz180,6282691,46.439105536
2,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,4,C4,MG2V_3LEVEL,3888,108,36,54,18,27,9,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,28.871332906999932,3.0467539920000135,10.552869179314268,0.067775150000000006,28.942382487,20033,10130,0.50566565167473665,14,0.046028232408294206,3,176433.56204348893,13839.896760285803,8.559782682947116,4.8515614511241486e-05,0.085200726138238786,20260,20260,30390,30390,30390,30390,405200,101300,5.0566565167473669,0.00077183503469768766,4.5534504802438201e-05,5.4517608148828548e-12,294.95448835599325,915.08426793775425,99999.997868987732,100000.00224199564,-0.015431665118554309,0.015431665118554309,-0.045263777493596516,0.045263777493596516,0.99597253380918427,0.20893765029980954,0.31683562161844481,0.83491282146879564,1,0,orfoz264,6282693,29.030243584
3,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,16,C16,MG2V_3LEVEL,3888,108,36,54,18,27,9,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,23.472089759999996,5.6377485460000072,24.01894592107255,0.067703073000000003,23.544925087999999,20033,10130,0.50566565167473665,14,0.046028232408294206,3,176433.56204348893,13839.896760285803,8.559782682947116,4.8515614511241486e-05,0.085200726138238786,20260,20260,30390,30390,30390,30390,405200,101300,5.0566565167473669,0.00077183503469768766,4.5534504802438208e-05,5.4517608148829363e-12,294.95448835599325,915.08426793775425,99999.997868987732,100000.00224199564,-0.015431665118554309,0.015431665118554309,-0.045263777493596516,0.045263777493596516,0.99597253380918427,0.20893765029980954,0.31683562161844481,0.83491282146879564,1,0,orfoz268,6282694,23.649810176
4,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,1,C1,MG2V_3LEVEL,15552,216,72,108,36,54,18,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,363.05530712199794,8.9101218029999902,2.4542050834160953,0.16143033500000001,363.22085722600002,20033,10198,0.5090600509159886,50,0.046927620697079932,3,573551.75979433267,30672.377470113919,33.763996864887304,5.8868264787461522e-05,0.10325287117507682,20396,20396,30594,30594,30594,30594,407920,101980,5.090600509159886,0.003120177329218321,0.00011440225215208007,1.4883069372468604e-11,293.82295084628839,929.86285576014586,99999.997558116142,100000.00230694098,-0.014137159042806753,0.014137159042806753,-0.050531385239208644,0.050531385239208644,0.99839373006024645,0.20957456550640655,0.32359467278529935,0.83394692440181395,1,0,orfoz264,6282695,363.308631040
5,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,2,C2,MG2V_3LEVEL,15552,216,72,108,36,54,18,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,191.87699983699949,6.2996708370000158,3.2831818520988025,0.16278430900000002,192.04309685199999,20033,10198,0.5090600509159886,50,0.046927620697079932,3,573551.75979433267,30672.377470113919,33.763996864887304,5.8868264787461522e-05,0.10325287117507682,20396,20396,30594,30594,30594,30594,407920,101980,5.090600509159886,0.003120177329218321,0.00011440225215208019,1.488306937246863e-11,293.82295084628839,929.86285576014586,99999.997558116142,100000.00230694098,-0.014137159042806753,0.014137159042806753,-0.050531385239208644,0.050531385239208644,0.99839373006024645,0.20957456550640655,0.32359467278529935,0.83394692440181395,1,0,orfoz268,6282696,192.116399872
6,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,4,C4,MG2V_3LEVEL,15552,216,72,108,36,54,18,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,106.82607234099964,5.2224219830000029,4.8887147758550018,0.23040022100000002,107.06345078699999,20033,10198,0.5090600509159886,50,0.046927620697079932,3,573551.75979433267,30672.377470113919,33.763996864887304,5.8868264787461522e-05,0.10325287117507682,20396,20396,30594,30594,30594,30594,407920,101980,5.090600509159886,0.003120177329218321,0.00011440225215208017,1.488306937246863e-11,293.82295084628839,929.86285576014586,99999.997558116142,100000.00230694098,-0.014137159042806753,0.014137159042806753,-0.050531385239208644,0.050531385239208644,0.99839373006024645,0.20957456550640655,0.32359467278529935,0.83394692440181395,1,0,orfoz311,6282697,107.306915072
7,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,16,C16,MG2V_3LEVEL,15552,216,72,108,36,54,18,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,47.547319878999978,6.7729878869999993,14.244731152536309,0.16353852000000002,47.716041447999999,20033,10198,0.5090600509159886,50,0.046927620697079932,3,573551.75979433267,30672.377470113919,33.763996864887304,5.8868264787461522e-05,0.10325287117507682,20396,20396,30594,30594,30594,30594,407920,101980,5.090600509159886,0.003120177329218321,0.0001144022521520802,1.4883069372468578e-11,293.82295084628839,929.86285576014586,99999.997558116142,100000.00230694098,-0.014137159042806753,0.014137159042806753,-0.050531385239208644,0.050531385239208644,0.99839373006024645,0.20957456550640655,0.32359467278529935,0.83394692440181395,1,0,orfoz254,6282699,47.808523264
8,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,1,C1,MG2V_3LEVEL,62208,432,144,216,72,108,36,3,3,40,1,2,48534,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,3481.2493039740011,84.007612857999675,2.4131455555941148,0.59451532099999993,3481.8709997229998,48534,24600,0.50686116948943005,175,0.032022857472614651,5,7612076.7802062361,4546123.5477843611,312.45429745281581,4.1047181534649524e-05,0.14703781946964756,49200,49200,73800,73800,73800,73800,984000,246000,5.068611694894301,0.0039478074909664596,0.00010659704598889085,1.2831399227352822e-11,293.38937653952104,930.71340248604668,99999.992546830035,100000.00637446319,-0.014314367186452098,0.01431436400661105,-0.050819216713007036,0.050819216136050741,0.99925031322093605,0.20980107013260338,0.32406873967588523,0.83351745388446152,1,0,orfoz254,6282700,3481.960683264
9,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,2,C2,MG2V_3LEVEL,62208,432,144,216,72,108,36,3,3,40,1,2,48534,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,1791.5309959049951,49.611099691999769,2.7692013035442145,0.58611659199999999,1792.1351778180001,48534,24600,0.50686116948943005,175,0.032022857472614651,5,7612076.7802062361,4546123.5477843611,312.45429745281581,4.1047181534649524e-05,0.14703781946964756,49200,49200,73800,73800,73800,73800,984000,246000,5.068611694894301,0.0039478074909664596,0.00010659704598889062,1.2831399227352812e-11,293.38937653952104,930.71340248604668,99999.992546830035,100000.00637446319,-0.014314367186452098,0.01431436400661105,-0.050819216713007036,0.050819216136050741,0.99925031322093605,0.20980107013260338,0.32406873967588523,0.83351745388446152,1,0,orfoz198,6282701,1792.221697024
