array_index,case_id,study_family,group_dir,physical_case,mesh_name,Nx,Ny,velocity_m_per_s,stiffness_class,A,beta,Ta_K,threads,core_label,solver,cells,level0_Nx,level0_Ny,level1_Nx,level1_Ny,level2_Nx,level2_Ny,mg_pre_sweeps,mg_post_sweeps,mg_coarse_sweeps,mg_omega,final_time_s,time_steps,vFuel_m_per_s,vOx_m_per_s,HfF_J_per_kg,rho_kg_per_m3,mu_Pa_s,cp_J_per_kgK,Pr,Sc,compute_time_s,pressure_time_s,pressure_fraction_pct,output_time_s,total_wall_s,pressure_solves,total_wcycles,avg_wcycles_per_pressure_solve,max_wcycles_per_pressure_solve,mean_pressure_convergence_factor,final_pressure_cycles,final_pressure_rhs_norm,final_pressure_initial_residual,final_pressure_abs_residual,final_pressure_rel_residual,final_pressure_convergence_factor,restrictions,prolongations,fine_pre_sweeps,fine_post_sweeps,level1_pre_sweeps,level1_post_sweeps,coarse_sweeps,equivalent_fine_grid_smoothing_sweeps,equivalent_fine_grid_smoothing_sweeps_per_pressure_solve,mass_residual_max,mass_residual_l2,mass_residual_integral,Tmin_K,Tmax_K,pmin_Pa,pmax_Pa,umin_m_per_s,umax_m_per_s,vmin_m_per_s,vmax_m_per_s,YFmax,YOmax,YPmax,YN2max,run_complete,run_failed,node,job_id,launcher_wall_seconds
0,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,1,C1,MG2W_3LEVEL,3888,108,36,54,18,27,9,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,81.926996423999626,3.2944912610000108,4.02125234025414,0.068027904,81.996668053999997,20033,10187,0.50851095692108017,8,0.10667946351230045,3,176404.8747626807,13791.975348618202,7.0296497467497829,3.9849520917190315e-05,0.079879573646917834,30561,30561,30561,30561,61122,61122,814960,142618,7.1191533968951228,0.00063379958938014624,3.8904281728912421e-05,3.2438326652984169e-12,294.95448879858401,915.08425339102462,99999.997955341751,100000.00232740064,-0.015431654255442712,0.015431654255442712,-0.045263793322755964,0.045263793322755964,0.99597266369861459,0.20893767751080666,0.3168356179713902,0.83491284462201187,1,0,orfoz182,6266807,82.114133248
1,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,2,C2,MG2W_3LEVEL,3888,108,36,54,18,27,9,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,47.987531239999704,4.2877769960000025,8.9351897986907751,0.066932918000000008,48.057364788999998,20033,10187,0.50851095692108017,8,0.10667946351230045,3,176404.8747626807,13791.975348618202,7.0296497467497829,3.9849520917190315e-05,0.079879573646917834,30561,30561,30561,30561,61122,61122,814960,142618,7.1191533968951228,0.00063379958938014624,3.8904281728912381e-05,3.2438326652983926e-12,294.95448879858401,915.08425339102462,99999.997955341751,100000.00232740064,-0.015431654255442712,0.015431654255442712,-0.045263793322755964,0.045263793322755964,0.99597266369861459,0.20893767751080666,0.3168356179713902,0.83491284462201187,1,0,orfoz204,6266808,48.125139712
2,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,4,C4,MG2W_3LEVEL,3888,108,36,54,18,27,9,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,31.017225322000012,5.0974795240000113,16.434350497445855,0.067650050000000003,31.088140312,20033,10187,0.50851095692108017,8,0.10667946351230045,3,176404.8747626807,13791.975348618202,7.0296497467497829,3.9849520917190315e-05,0.079879573646917834,30561,30561,30561,30561,61122,61122,814960,142618,7.1191533968951228,0.00063379958938014624,3.8904281728912388e-05,3.2438326652983805e-12,294.95448879858401,915.08425339102462,99999.997955341751,100000.00232740064,-0.015431654255442712,0.015431654255442712,-0.045263793322755964,0.045263793322755964,0.99597266369861459,0.20893767751080666,0.3168356179713902,0.83491284462201187,1,0,orfoz274,6266809,31.169283584
3,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,16,C16,MG2W_3LEVEL,3888,108,36,54,18,27,9,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,27.679702714000058,9.7930753039999452,35.379987296780925,0.067074909000000016,27.750801359,20033,10187,0.50851095692108017,8,0.10667946351230045,3,176404.8747626807,13791.975348618202,7.0296497467497829,3.9849520917190315e-05,0.079879573646917834,30561,30561,30561,30561,61122,61122,814960,142618,7.1191533968951228,0.00063379958938014624,3.8904281728912408e-05,3.243832665298345e-12,294.95448879858401,915.08425339102462,99999.997955341751,100000.00232740064,-0.015431654255442712,0.015431654255442712,-0.045263793322755964,0.045263793322755964,0.99597266369861459,0.20893767751080666,0.3168356179713902,0.83491284462201187,1,0,orfoz204,6266810,27.828812032
4,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,1,C1,MG2W_3LEVEL,15552,216,72,108,36,54,18,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,363.04953142100038,11.236633542000057,3.095069011112372,0.16211356800000001,363.21599007899999,20033,10181,0.50821145110567567,25,0.075562047241555574,3,573560.37086685421,30697.140886385459,27.920696783232415,4.86796128209386e-05,0.096889364702627712,30543,30543,30543,30543,61086,61086,814480,142534,7.1149603154794585,0.0025798832339258837,0.00010014142477909391,-7.130096808149213e-13,293.82295147063513,929.86299174536703,99999.997540115859,100000.00232558406,-0.014137256181871782,0.01413717246135179,-0.050531453809684275,0.050531450948134292,0.99839391286907642,0.20957459139594806,0.323594763068142,0.83394699624860869,1,0,orfoz274,6266811,363.310732800
5,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,2,C2,MG2W_3LEVEL,15552,216,72,108,36,54,18,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,193.5170905520005,8.378520425999989,4.3296023116617572,0.16589483500000002,193.68629993299999,20033,10181,0.50821145110567567,25,0.075562047241555574,3,573560.37086685421,30697.140886385459,27.920696783232415,4.86796128209386e-05,0.096889364702627712,30543,30543,30543,30543,61086,61086,814480,142534,7.1149603154794585,0.0025798832339258837,0.00010014142477909362,-7.1300968081488949e-13,293.82295147063513,929.86299174536703,99999.997540115859,100000.00232558406,-0.014137256181871782,0.01413717246135179,-0.050531453809684275,0.050531450948134292,0.99839391286907642,0.20957459139594806,0.323594763068142,0.83394699624860869,1,0,orfoz182,6266812,193.773672960
6,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,4,C4,MG2W_3LEVEL,15552,216,72,108,36,54,18,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,108.39736944499995,7.4687198609999994,6.8901301749666297,0.16322849899999992,108.56451525599999,20033,10181,0.50821145110567567,25,0.075562047241555574,3,573560.37086685421,30697.140886385459,27.920696783232415,4.86796128209386e-05,0.096889364702627712,30543,30543,30543,30543,61086,61086,814480,142534,7.1149603154794585,0.0025798832339258837,0.00010014142477909364,-7.130096808148897e-13,293.82295147063513,929.86299174536703,99999.997540115859,100000.00232558406,-0.014137256181871782,0.01413717246135179,-0.050531453809684275,0.050531450948134292,0.99839391286907642,0.20957459139594806,0.323594763068142,0.83394699624860869,1,0,orfoz204,6266813,108.665881088
7,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,16,C16,MG2W_3LEVEL,15552,216,72,108,36,54,18,3,3,40,1,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,52.197468036999922,11.373991356999996,21.790312413118578,0.16190266200000003,52.363841966000003,20033,10181,0.50821145110567567,25,0.075562047241555574,3,573560.37086685421,30697.140886385459,27.920696783232415,4.86796128209386e-05,0.096889364702627712,30543,30543,30543,30543,61086,61086,814480,142534,7.1149603154794585,0.0025798832339258837,0.00010014142477909375,-7.1300968081483891e-13,293.82295147063513,929.86299174536703,99999.997540115859,100000.00232558406,-0.014137256181871782,0.01413717246135179,-0.050531453809684275,0.050531450948134292,0.99839391286907642,0.20957459139594806,0.323594763068142,0.83394699624860869,1,0,orfoz204,6266817,52.430339328
8,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,1,C1,MG2W_3LEVEL,62208,432,144,216,72,108,36,3,3,40,1,2,48534,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,3503.8204518469943,104.85522415300159,2.992596955067389,0.59723789999999999,3504.4455502709998,48534,24474,0.50426505130424037,88,0.042240169239751456,5,7612104.8610684294,4546164.5622403044,197.00413762032986,2.5880376218658463e-05,0.13408062912681809,73422,73422,73422,73422,146844,146844,1957920,342636,7.0597107182593648,0.0024892790375355411,7.6115944103413827e-05,1.4730728945901691e-11,293.38937652425494,930.7135460402709,99999.992529911993,100000.00641368791,-0.014314385571954465,0.01431437971188707,-0.0508193276383343,0.050819328207418975,0.99925031306618783,0.20980106997527878,0.32406883380213353,0.83351748678622928,1,0,orfoz204,6266818,3504.627858432
9,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,2,C2,MG2W_3LEVEL,62208,432,144,216,72,108,36,3,3,40,1,2,48534,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,1811.6962480530021,63.661215620999272,3.5139011680029064,0.60029605099999994,1812.3124033659999,48534,24474,0.50426505130424037,88,0.042240169239751456,5,7612104.8610684294,4546164.5622403044,197.00413762032986,2.5880376218658463e-05,0.13408062912681809,73422,73422,73422,73422,146844,146844,1957920,342636,7.0597107182593648,0.0024892790375355411,7.6115944103413922e-05,1.473072894590163e-11,293.38937652425494,930.7135460402709,99999.992529911993,100000.00641368791,-0.014314385571954465,0.01431437971188707,-0.0508193276383343,0.050819328207418975,0.99925031306618783,0.20980106997527878,0.32406883380213353,0.83351748678622928,1,0,orfoz182,6266822,1812.407395584
