case_id,relative_path,study_family,physical_case,case_label,inlet_speed_m_per_s,stiffness_class,A,beta,Ta_K,fuel_Hf_J_per_kg,mesh_name,Nx,Ny,cells,nprocs,x_left_cells,slot_cells,x_right_cells,status,node,solver_exit_code,openfoam_version,mpi_library,solver_wall_s,setup_wall_s,reconstruct_wall_s,total_case_wall_s,final_time,foam_execution_s,foam_clock_s,final_maxCo
FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C1,cases/FLOW/BC1_LOW_v005/M1_108x36/C1,FLOW_INTENSITY,BC1_LOW_v005,low_flow,0.05,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M1_108x36,108,36,3888,1,49,10,49,complete,orfoz244,0,v2312,INTELMPI,473.148213248,4.999814912,0.005446912,478.366550016,2,453.73,455,0.01303319355
FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C2,cases/FLOW/BC1_LOW_v005/M1_108x36/C2,FLOW_INTENSITY,BC1_LOW_v005,low_flow,0.05,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M1_108x36,108,36,3888,2,49,10,49,complete,orfoz244,0,v2312,INTELMPI,361.673494272,2.163789312,2.706194176,366.616375808,2,358.96,360,0.01303319356
FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C4,cases/FLOW/BC1_LOW_v005/M1_108x36/C4,FLOW_INTENSITY,BC1_LOW_v005,low_flow,0.05,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M1_108x36,108,36,3888,4,49,10,49,complete,orfoz244,0,v2312,INTELMPI,412.957263616,0.270044416,0.139992832,413.440333568,2,410.92,412,0.01303319355
FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C16,cases/FLOW/BC1_LOW_v005/M1_108x36/C16,FLOW_INTENSITY,BC1_LOW_v005,low_flow,0.05,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M1_108x36,108,36,3888,16,49,10,49,complete,orfoz244,0,v2312,INTELMPI,866.779034112,0.430936832,1.313801216,868.595856896,2,859.95,862,0.01303319355
FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C1,cases/FLOW/BC1_LOW_v005/M2_216x72/C1,FLOW_INTENSITY,BC1_LOW_v005,low_flow,0.05,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M2_216x72,216,72,15552,1,98,20,98,complete,orfoz317,0,v2312,INTELMPI,1671.188653568,0.277034752,0.005409280,1671.547768576,2,1667.4,1671,0.02698732984
FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C2,cases/FLOW/BC1_LOW_v005/M2_216x72/C2,FLOW_INTENSITY,BC1_LOW_v005,low_flow,0.05,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M2_216x72,216,72,15552,2,98,20,98,complete,orfoz317,0,v2312,INTELMPI,1000.256627456,4.197046272,0.906826496,1005.435115776,2,993.01,995,0.02698732986
FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C4,cases/FLOW/BC1_LOW_v005/M2_216x72/C4,FLOW_INTENSITY,BC1_LOW_v005,low_flow,0.05,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M2_216x72,216,72,15552,4,98,20,98,complete,orfoz317,0,v2312,INTELMPI,674.904079616,0.746252288,0.154788608,675.877486592,2,670.84,672,0.02698732986
FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C16,cases/FLOW/BC1_LOW_v005/M2_216x72/C16,FLOW_INTENSITY,BC1_LOW_v005,low_flow,0.05,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M2_216x72,216,72,15552,16,98,20,98,complete,orfoz317,0,v2312,INTELMPI,780.670233088,0.571055872,1.407507712,782.721845248,2,764.73,770,0.02698732987
FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C1,cases/FLOW/BC1_LOW_v005/M3_432x144/C1,FLOW_INTENSITY,BC1_LOW_v005,low_flow,0.05,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M3_432x144,432,144,62208,1,196,40,196,complete,orfoz318,0,v2312,INTELMPI,7645.614763520,5.346826496,0.007400960,7651.064846336,2,7595.91,7620,0.04999815814
FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C2,cases/FLOW/BC1_LOW_v005/M3_432x144/C2,FLOW_INTENSITY,BC1_LOW_v005,low_flow,0.05,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M3_432x144,432,144,62208,2,196,40,196,complete,orfoz318,0,v2312,INTELMPI,4014.627947776,4.180441088,2.747521792,4021.812610560,2,3972.62,3987,0.04999815819
