array_index,case_id,study_family,group_dir,physical_case,mesh_name,Nx,Ny,velocity_m_per_s,stiffness_class,A,beta,Ta,threads,core_label,status,run_dir,launcher_wall_seconds,exit_code,summary_case_id,solver,summary_threads,summary_Nx,summary_Ny,cells,level0_Nx,level0_Ny,rmt_smoothing_sweeps,rmt_max_cycles,final_time_s,time_steps,vFuel_m_per_s,vOx_m_per_s,summary_A,summary_beta,Ta_K,HfF_J_per_kg,rho_kg_per_m3,mu_Pa_s,cp_J_per_kgK,Pr,Sc,compute_time_s,pressure_time_s,pressure_fraction_pct,output_time_s,total_wall_s,pressure_solves,total_rmt_cycles,avg_rmt_cycles_per_pressure_solve,max_rmt_cycles_per_pressure_solve,mean_pressure_convergence_factor,final_pressure_cycles,final_pressure_rhs_norm,final_pressure_initial_residual,final_pressure_abs_residual,final_pressure_rel_residual,final_pressure_convergence_factor,equivalent_fine_grid_smoothing_sweeps,equivalent_fine_grid_smoothing_sweeps_per_pressure_solve,mass_residual_max,mass_residual_l2,mass_residual_integral,Tmin_K,Tmax_K,pmin_Pa,pmax_Pa,umin_m_per_s,umax_m_per_s,vmin_m_per_s,vmax_m_per_s,YFmax,YOmax,YPmax,YN2max,diag_levelsX,diag_levelsY,diag_direct_solves,diag_direct_unknowns,diag_lu_factorizations,diag_nonmonotone_cycles,diag_last_cycle_ratio,diag_max_cycle_ratio,diag_point_updates
0,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,1,C1,missing,results/FLOW/BC1_LOW_v005/M1_108x36/C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,2,C2,missing,results/FLOW/BC1_LOW_v005/M1_108x36/C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,4,C4,missing,results/FLOW/BC1_LOW_v005/M1_108x36/C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,16,C16,complete,results/FLOW/BC1_LOW_v005/M1_108x36/C16,23.869454080,0,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C16,RMT_FINALVOL2,16,108,36,3888,108,36,16,500,2,20033,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,23.588938367000072,5.6582307730000023,23.986797052789914,0.065654981000000001,23.658849060000001,20033,5873,0.29316627564518544,3,0.15445181584782466,2,176409.73717962604,13808.226307143719,2.2539560116879329,1.2776823137562315e-05,0.012776260844783534,281904,14.071981230968902,0.00020322264748529051,2.6254376552012725e-05,-5.3413325930933473e-10,294.95449063572789,915.08413604988846,99999.99795949999,100000.00232437062,-0.015431646339169597,0.015431646296808103,-0.045263969203814966,0.045263969203001533,0.99597340936149847,0.2089378338607342,0.31683553212781435,0.83491285177248864,3,2,1427139,22834224,243,0,0.015504882317325577,0.17511649349014033,1096042752
4,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,1,C1,missing,results/FLOW/BC1_LOW_v005/M2_216x72/C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,2,C2,missing,results/FLOW/BC1_LOW_v005/M2_216x72/C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,4,C4,missing,results/FLOW/BC1_LOW_v005/M2_216x72/C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,16,C16,missing,results/FLOW/BC1_LOW_v005/M2_216x72/C16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,1,C1,missing,results/FLOW/BC1_LOW_v005/M3_432x144/C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,2,C2,missing,results/FLOW/BC1_LOW_v005/M3_432x144/C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
