array_index,case_id,study_family,group_dir,physical_case,mesh_name,Nx,Ny,velocity_m_per_s,stiffness_class,A,beta,Ta,threads,core_label,status,run_dir,launcher_wall_seconds,exit_code,summary_case_id,solver,summary_threads,summary_Nx,summary_Ny,cells,level0_Nx,level0_Ny,rmt_smoothing_sweeps,rmt_max_cycles,final_time_s,time_steps,vFuel_m_per_s,vOx_m_per_s,summary_A,summary_beta,Ta_K,HfF_J_per_kg,rho_kg_per_m3,mu_Pa_s,cp_J_per_kgK,Pr,Sc,compute_time_s,pressure_time_s,pressure_fraction_pct,output_time_s,total_wall_s,pressure_solves,total_rmt_cycles,avg_rmt_cycles_per_pressure_solve,max_rmt_cycles_per_pressure_solve,mean_pressure_convergence_factor,final_pressure_cycles,final_pressure_rhs_norm,final_pressure_initial_residual,final_pressure_abs_residual,final_pressure_rel_residual,final_pressure_convergence_factor,equivalent_fine_grid_smoothing_sweeps,equivalent_fine_grid_smoothing_sweeps_per_pressure_solve,mass_residual_max,mass_residual_l2,mass_residual_integral,Tmin_K,Tmax_K,pmin_Pa,pmax_Pa,umin_m_per_s,umax_m_per_s,vmin_m_per_s,vmax_m_per_s,YFmax,YOmax,YPmax,YN2max,diag_levelsX,diag_levelsY,diag_direct_solves,diag_direct_unknowns,diag_nonmonotone_cycles,diag_last_cycle_ratio,diag_max_cycle_ratio,diag_point_updates
0,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,1,C1,complete,results/FLOW/BC1_LOW_v005/M1_108x36/C1,100.956733440,0,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C1,RMT_FINAL,1,108,36,3888,108,36,16,500,2,20033,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,100.79757914100028,21.675839612999983,21.504325597620578,0.066011563999999995,100.865704541,20033,5873,0.29316627564518544,3,0.15445181584782466,2,176409.73717962604,13808.226307143719,2.2539560116879329,1.2776823137562315e-05,0.012776260844783534,281904,14.071981230968902,0.00020322264748529051,2.6254376552012762e-05,-5.3413325930933587e-10,294.95449063572789,915.08413604988846,99999.99795949999,100000.00232437062,-0.015431646339169597,0.015431646296808103,-0.045263969203814966,0.045263969203001533,0.99597340936149847,0.2089378338607342,0.31683553212781435,0.83491285177248864,3,2,1427139,22834224,0,0.015504882317325577,0.17511649349014033,1096042752
1,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,2,C2,complete,results/FLOW/BC1_LOW_v005/M1_108x36/C2,55.776390400,0,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C2,RMT_FINAL,2,108,36,3888,108,36,16,500,2,20033,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,55.626675466000265,11.758730437000024,21.1386539614202,0.066747675000000006,55.695159347000001,20033,5873,0.29316627564518544,3,0.15445181584782466,2,176409.73717962604,13808.226307143719,2.2539560116879329,1.2776823137562315e-05,0.012776260844783534,281904,14.071981230968902,0.00020322264748529051,2.6254376552012705e-05,-5.3413325930933391e-10,294.95449063572789,915.08413604988846,99999.99795949999,100000.00232437062,-0.015431646339169597,0.015431646296808103,-0.045263969203814966,0.045263969203001533,0.99597340936149847,0.2089378338607342,0.31683553212781435,0.83491285177248864,3,2,1427139,22834224,0,0.015504882317325577,0.17511649349014033,1096042752
2,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,4,C4,complete,results/FLOW/BC1_LOW_v005/M1_108x36/C4,33.206811648,0,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C4,RMT_FINAL,4,108,36,3888,108,36,16,500,2,20033,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,32.974081322999936,6.8238357379999881,20.694543909067924,0.067040650000000007,33.042872266000003,20033,5873,0.29316627564518544,3,0.15445181584782466,2,176409.73717962604,13808.226307143719,2.2539560116879329,1.2776823137562315e-05,0.012776260844783534,281904,14.071981230968902,0.00020322264748529051,2.6254376552012701e-05,-5.3413325930933484e-10,294.95449063572789,915.08413604988846,99999.99795949999,100000.00232437062,-0.015431646339169597,0.015431646296808103,-0.045263969203814966,0.045263969203001533,0.99597340936149847,0.2089378338607342,0.31683553212781435,0.83491285177248864,3,2,1427139,22834224,0,0.015504882317325577,0.17511649349014033,1096042752
3,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,16,C16,complete,results/FLOW/BC1_LOW_v005/M1_108x36/C16,22.327162880,0,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C16,RMT_FINAL,16,108,36,3888,108,36,16,500,2,20033,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,22.154144785000081,4.2157408980000168,19.029129487563747,0.065326184000000009,22.224227278000001,20033,5873,0.29316627564518544,3,0.15445181584782466,2,176409.73717962604,13808.226307143719,2.2539560116879329,1.2776823137562315e-05,0.012776260844783534,281904,14.071981230968902,0.00020322264748529051,2.6254376552012725e-05,-5.3413325930933473e-10,294.95449063572789,915.08413604988846,99999.99795949999,100000.00232437062,-0.015431646339169597,0.015431646296808103,-0.045263969203814966,0.045263969203001533,0.99597340936149847,0.2089378338607342,0.31683553212781435,0.83491285177248864,3,2,1427139,22834224,0,0.015504882317325577,0.17511649349014033,1096042752
4,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,1,C1,complete,results/FLOW/BC1_LOW_v005/M2_216x72/C1,501.617525760,0,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C1,RMT_FINAL,1,216,72,15552,216,72,16,500,2,20033,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,501.35283768900314,149.20767654900041,29.761011673291101,0.16394843999999995,501.52186533299999,20033,8231,0.41087206109918634,3,0.1910184012147714,2,573553.07914430555,30681.301696433686,7.7410710565641239,1.3496695141299165e-05,0.015884137445628596,526784,26.295811910347926,0.0007153324413686768,6.2074574426395612e-05,-6.2098531006724794e-11,293.82296258762813,929.84614945624139,99999.997557531431,100000.00230747118,-0.014137298521083811,0.014137305715018906,-0.050531710658793999,0.050531704029931172,0.99839393378780805,0.20957458215505712,0.32358415469486296,0.83394794200824651,4,3,18001197,128008512,0,0.020845787271935274,0.20598857949068969,8192544768
5,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,2,C2,complete,results/FLOW/BC1_LOW_v005/M2_216x72/C2,263.062899456,0,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C2,RMT_FINAL,2,216,72,15552,216,72,16,500,2,20033,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,262.78595262299967,77.34078643699992,29.431096169723826,0.16464942300000002,262.95502356100002,20033,8231,0.41087206109918634,3,0.1910184012147714,2,573553.07914430555,30681.301696433686,7.7410710565641239,1.3496695141299165e-05,0.015884137445628596,526784,26.295811910347926,0.0007153324413686768,6.2074574426395707e-05,-6.2098531006725504e-11,293.82296258762813,929.84614945624139,99999.997557531431,100000.00230747118,-0.014137298521083811,0.014137305715018906,-0.050531710658793999,0.050531704029931172,0.99839393378780805,0.20957458215505712,0.32358415469486296,0.83394794200824651,4,3,18001197,128008512,0,0.020845787271935274,0.20598857949068969,8192544768
6,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,4,C4,complete,results/FLOW/BC1_LOW_v005/M2_216x72/C4,142.153340160,0,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C4,RMT_FINAL,4,216,72,15552,216,72,16,500,2,20033,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,141.89206573500016,41.321233415999941,29.121595490174993,0.164699707,142.05959923500001,20033,8231,0.41087206109918634,3,0.1910184012147714,2,573553.07914430555,30681.301696433686,7.7410710565641239,1.3496695141299165e-05,0.015884137445628596,526784,26.295811910347926,0.0007153324413686768,6.2074574426395707e-05,-6.2098531006725349e-11,293.82296258762813,929.84614945624139,99999.997557531431,100000.00230747118,-0.014137298521083811,0.014137305715018906,-0.050531710658793999,0.050531704029931172,0.99839393378780805,0.20957458215505712,0.32358415469486296,0.83394794200824651,4,3,18001197,128008512,0,0.020845787271935274,0.20598857949068969,8192544768
7,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,16,C16,complete,results/FLOW/BC1_LOW_v005/M2_216x72/C16,57.538428160,0,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C16,RMT_FINAL,16,216,72,15552,216,72,16,500,2,20033,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,57.283852709000001,16.338592055000106,28.522159879852339,0.16429186700000001,57.453455812999998,20033,8231,0.41087206109918634,3,0.1910184012147714,2,573553.07914430555,30681.301696433686,7.7410710565641239,1.3496695141299165e-05,0.015884137445628596,526784,26.295811910347926,0.0007153324413686768,6.2074574426395721e-05,-6.2098531006724987e-11,293.82296258762813,929.84614945624139,99999.997557531431,100000.00230747118,-0.014137298521083811,0.014137305715018906,-0.050531710658793999,0.050531704029931172,0.99839393378780805,0.20957458215505712,0.32358415469486296,0.83394794200824651,4,3,18001197,128008512,0,0.020845787271935274,0.20598857949068969,8192544768
8,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,1,C1,complete,results/FLOW/BC1_LOW_v005/M3_432x144/C1,5072.202927616,0,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C1,RMT_FINAL,1,432,144,62208,432,144,16,500,2,48534,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,5071.4621835150128,1700.7285938709883,33.535271137370863,0.60543044600000007,5072.0961758539997,48534,19052,0.39254955289075699,4,0.20726177676908644,3,7612133.1560912021,4546433.2321027704,84.296407862908382,1.1073953402333049e-05,0.026467489549805333,1524160,31.403964231260559,0.0010650651318186988,5.4713377451182942e-05,-6.9406682050338306e-13,293.3893758024285,930.71465762446292,99999.9923938305,100000.00654371135,-0.014314497651339006,0.014314493921219076,-0.050819397695540447,0.05081952801530739,0.99924896676759278,0.20980135523826138,0.32406941939199929,0.83351737277778337,5,4,375000516,1185186816,0,0.056491815041036113,0.23540812506393488,94814945280
9,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,2,C2,complete,results/FLOW/BC1_LOW_v005/M3_432x144/C2,2615.553867264,0,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C2,RMT_FINAL,2,432,144,62208,432,144,16,500,2,48534,0.050000000000000003,-0.050000000000000003,10000000,5,1000,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,2614.8616332899878,873.51150545900646,33.40564924500287,0.59210470100000001,2615.4704122369999,48534,19052,0.39254955289075699,4,0.20726177676908644,3,7612133.1560912021,4546433.2321027704,84.296407862908382,1.1073953402333049e-05,0.026467489549805333,1524160,31.403964231260559,0.0010650651318186988,5.4713377451182529e-05,-6.9406682050337457e-13,293.3893758024285,930.71465762446292,99999.9923938305,100000.00654371135,-0.014314497651339006,0.014314493921219076,-0.050819397695540447,0.05081952801530739,0.99924896676759278,0.20980135523826138,0.32406941939199929,0.83351737277778337,5,4,375000516,1185186816,0,0.056491815041036113,0.23540812506393488,94814945280
