array_index,case_id,study_family,group_dir,physical_case,mesh_name,Nx,Ny,velocity_m_per_s,stiffness_class,A,beta,Ta_K,threads,core_label,solver,cells,level0_Nx,level0_Ny,rbgs_omega,rbgs_max_sweeps,final_time_s,time_steps,vFuel_m_per_s,vOx_m_per_s,HfF_J_per_kg,rho_kg_per_m3,mu_Pa_s,cp_J_per_kgK,Pr,Sc,compute_time_s,pressure_time_s,pressure_fraction_pct,output_time_s,total_wall_s,pressure_solves,total_rbgs_sweeps,avg_rbgs_sweeps_per_pressure_solve,max_rbgs_sweeps_per_pressure_solve,mean_pressure_convergence_factor,final_pressure_sweeps,final_pressure_rhs_norm,final_pressure_initial_residual,final_pressure_abs_residual,final_pressure_rel_residual,final_pressure_convergence_factor,equivalent_fine_grid_smoothing_sweeps,equivalent_fine_grid_smoothing_sweeps_per_pressure_solve,mass_residual_max,mass_residual_l2,mass_residual_integral,Tmin_K,Tmax_K,pmin_Pa,pmax_Pa,umin_m_per_s,umax_m_per_s,vmin_m_per_s,vmax_m_per_s,YFmax,YOmax,YPmax,YN2max,run_complete,run_failed,node,job_id,launcher_wall_seconds
0,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,1,C1,SG_RBGS,3888,108,36,1,500000,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,79.818180578000124,1.4557830449999885,1.8238740027121569,0.067617486000000004,79.888438164999997,20033,34591,1.7267009434433185,8963,0.45353880570337157,30,176418.43676763613,13819.236938534566,16.556273011738085,9.384661441901703e-05,0.79912726896677699,34591,1.7267009434433185,0.0014927653961009923,0.00010076761243076329,4.3630801315912941e-11,294.95448936119521,915.08406378635448,99999.997895635184,100000.00226709446,-0.015431912723808467,0.015431912723808467,-0.045264027307018534,0.045264027307018534,0.99597270312777808,0.2089376857039065,0.31683549990755516,0.83491285618706879,1,0,orfoz172,6300277,79.980429312
1,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,2,C2,SG_RBGS,3888,108,36,1,500000,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,44.459307183000014,1.1026455749999964,2.4801231617518704,0.066680725999999996,44.528860928999997,20033,34591,1.7267009434433185,8963,0.45353880570337157,30,176418.43676763613,13819.236938534566,16.556273011738085,9.384661441901703e-05,0.79912726896677699,34591,1.7267009434433185,0.0014927653961009923,0.00010076761243076312,4.3630801315913006e-11,294.95448936119521,915.08406378635448,99999.997895635184,100000.00226709446,-0.015431912723808467,0.015431912723808467,-0.045264027307018534,0.045264027307018534,0.99597270312777808,0.2089376857039065,0.31683549990755516,0.83491285618706879,1,0,orfoz194,6300278,44.623747328
2,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,4,C4,SG_RBGS,3888,108,36,1,500000,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,26.828090040999946,0.91430312500000066,3.4080067705256685,0.067303503000000015,26.898512280999999,20033,34591,1.7267009434433185,8963,0.45353880570337157,30,176418.43676763613,13819.236938534566,16.556273011738085,9.384661441901703e-05,0.79912726896677699,34591,1.7267009434433185,0.0014927653961009923,0.00010076761243076317,4.3630801315913e-11,294.95448936119521,915.08406378635448,99999.997895635184,100000.00226709446,-0.015431912723808467,0.015431912723808467,-0.045264027307018534,0.045264027307018534,0.99597270312777808,0.2089376857039065,0.31683549990755516,0.83491285618706879,1,0,orfoz237,6300279,26.997224960
3,FLOW_INTENSITY__BC1_LOW_v005__M1_108x36__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M1_108x36,108,36,0.05,nominal_chemistry,10000000,5,1000,16,C16,SG_RBGS,3888,108,36,1,500000,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,19.042844114000097,1.2403337189999937,6.5133848262094078,0.067167889000000008,19.113045114999998,20033,34591,1.7267009434433185,8963,0.45353880570337157,30,176418.43676763613,13819.236938534566,16.556273011738085,9.384661441901703e-05,0.79912726896677699,34591,1.7267009434433185,0.0014927653961009923,0.00010076761243076319,4.3630801315912987e-11,294.95448936119521,915.08406378635448,99999.997895635184,100000.00226709446,-0.015431912723808467,0.015431912723808467,-0.045264027307018534,0.045264027307018534,0.99597270312777808,0.2089376857039065,0.31683549990755516,0.83491285618706879,1,0,orfoz172,6300280,19.202507776
4,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,1,C1,SG_RBGS,15552,216,72,1,500000,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,370.17842234999961,15.728205822999973,4.2488175629343212,0.16346978300000001,370.34627066100001,20033,121305,6.0552588229421458,32280,0.9641874546820578,21,573526.5416363409,30641.854624622152,53.701233275001869,9.3633388128447773e-05,0.7391730988003502,121305,6.0552588229421458,0.004962658856598523,0.00081869443391173165,-3.0498603215683106e-08,293.82293893198062,929.86547276086594,99999.99756071232,100000.00231518222,-0.014137307368473578,0.014137307368473578,-0.050531937590085584,0.050531937590085584,0.9983945322679586,0.20957473527256115,0.32359580987359887,0.83394759680704877,1,0,orfoz172,6300281,370.430903296
5,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,2,C2,SG_RBGS,15552,216,72,1,500000,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,195.68818212699924,9.3763110689998204,4.7914549397340247,0.16390441399999994,195.85523829799999,20033,121305,6.0552588229421458,32280,0.9641874546820578,21,573526.5416363409,30641.854624622152,53.701233275001869,9.3633388128447773e-05,0.7391730988003502,121305,6.0552588229421458,0.004962658856598523,0.000818694433911731,-3.0498603215683291e-08,293.82293893198062,929.86547276086594,99999.99756071232,100000.00231518222,-0.014137307368473578,0.014137307368473578,-0.050531937590085584,0.050531937590085584,0.9983945322679586,0.20957473527256115,0.32359580987359887,0.83394759680704877,1,0,orfoz194,6300282,195.929661440
6,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C4,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,4,C4,SG_RBGS,15552,216,72,1,500000,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,106.60202719300045,6.2930602579999846,5.9033213754993117,0.16692656299999997,106.77186597799999,20033,121305,6.0552588229421458,32280,0.9641874546820578,21,573526.5416363409,30641.854624622152,53.701233275001869,9.3633388128447773e-05,0.7391730988003502,121305,6.0552588229421458,0.004962658856598523,0.00081869443391173068,-3.0498603215683232e-08,293.82293893198062,929.86547276086594,99999.99756071232,100000.00231518222,-0.014137307368473578,0.014137307368473578,-0.050531937590085584,0.050531937590085584,0.9983945322679586,0.20957473527256115,0.32359580987359887,0.83394759680704877,1,0,orfoz237,6300283,106.857977600
7,FLOW_INTENSITY__BC1_LOW_v005__M2_216x72__C16,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M2_216x72,216,72,0.05,nominal_chemistry,10000000,5,1000,16,C16,SG_RBGS,15552,216,72,1,500000,2,20033,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,45.699864573999953,4.7307459050000267,10.35177226256266,0.16636458500000001,45.871300167999998,20033,121305,6.0552588229421458,32280,0.9641874546820578,21,573526.5416363409,30641.854624622152,53.701233275001869,9.3633388128447773e-05,0.7391730988003502,121305,6.0552588229421458,0.004962658856598523,0.00081869443391173089,-3.0498603215683245e-08,293.82293893198062,929.86547276086594,99999.99756071232,100000.00231518222,-0.014137307368473578,0.014137307368473578,-0.050531937590085584,0.050531937590085584,0.9983945322679586,0.20957473527256115,0.32359580987359887,0.83394759680704877,1,0,orfoz237,6300284,45.951491328
8,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C1,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,1,C1,SG_RBGS,62208,432,144,1,500000,2,48534,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,3670.044964383012,295.0660801599974,8.0398491850522138,0.59447136099999998,3670.6668463890001,48534,606427,12.494890180079944,114522,0.99206619227331649,331,7611954.2511779973,4545954.2550842473,760.66526422803861,9.9930351540187057e-05,0.97407151074710063,606427,12.494890180079944,0.0096109834374540348,0.002595091580836179,-1.1023221681118196e-08,293.38937201326991,930.71855514776519,99999.992620104837,100000.00650427965,-0.014313849007102792,0.014313849007102792,-0.050819612791475191,0.050819612791475191,0.99924931687540641,0.20980086120987501,0.32407127210559034,0.83351705851356739,1,0,orfoz194,6300285,3670.772404736
9,FLOW_INTENSITY__BC1_LOW_v005__M3_432x144__C2,FLOW_INTENSITY,FLOW,BC1_LOW_v005,M3_432x144,432,144,0.05,nominal_chemistry,10000000,5,1000,2,C2,SG_RBGS,62208,432,144,1,500000,2,48534,0.050000000000000003,-0.050000000000000003,3571428.571,1,2.0000000000000002e-05,1000,0.69999999999999996,1,1900.2347315199941,163.78279635800331,8.61908235026279,0.5991421079999999,1900.849598195,48534,606427,12.494890180079944,114522,0.99206619227331649,331,7611954.2511779973,4545954.2550842473,760.66526422803861,9.9930351540187057e-05,0.97407151074710063,606427,12.494890180079944,0.0096109834374540348,0.0025950915808361976,-1.1023221681118287e-08,293.38937201326991,930.71855514776519,99999.992620104837,100000.00650427965,-0.014313849007102792,0.014313849007102792,-0.050819612791475191,0.050819612791475191,0.99924931687540641,0.20980086120987501,0.32407127210559034,0.83351705851356739,1,0,orfoz237,6300286,1900.916550912
